Id_Rubro,RUBRO,VALOR
1,"ALMACEN",7050.0000
2,"ALMACEN AL POR MAYOR",25050.0000
3,"AUTOSERVICIO",25050.0000
4,"BAR",10050.0000
5,"BODEGA",45300.0000
6,"BUFFET",10050.0000
7,"CAFÉ",10050.0000
8,"CAMARA FRIGORIFICA",25200.0000
9,"CARNICERIA",7050.0000
10,"CARRIBAR",4050.0000
11,"CASA DE COMIDAS PARA LLEVAR",7050.0000
12,"CASA DE COMIDAS POR VIANDAS",7050.0000
13,"CASA DE PANIFICACION",10050.0000
14,"CASA PENSION CON COMIDA",10050.0000
15,"COMEDOR",10050.0000
16,"CONFITERIA (ELABORACION)",25200.0000
17,"COPETIN AL PASO",4050.0000
18,"DEPOSITO DE AVES EVISCERADAS Y HUEVOS",15150.0000
19,"DEPOSITO DE BEBIDAS ALCOHOLICAS/ANALCOHOLICAS",15150.0000
20,"DEPOSITO DE CONSERVANTES QUIMICOS",15150.0000
21,"DEPOSITO DE HELADOS",15150.0000
22,"DEPOSITO DE HUEVOS",15150.0000
23,"DEPOSITO DE HUEVOS INCOMESTIBLES",48450.0000
24,"DEPOSITO DE MASITAS Y GOLOSINAS",12150.0000
25,"DEPOSITO DE MENUDENCIAS",12150.0000
26,"DEPOSITO DE PESCADOS",12150.0000
27,"DEPOSITO DE PROD. DE IMPORTACION/EXPORTACION",12150.0000
28,"DEPOSITO DE PRODUCTOS DE ALMACEN",12150.0000
29,"DEPOSITO DE PRODUCTOS DE PANIFICACION",12150.0000
30,"DEPOSITO DE PRODUCTOS IMPORTADOS",12150.0000
31,"DEPOSITO DE PRODUCTOS LACTEOS",12150.0000
32,"DEPOSITO DE QUESOS Y FIAMBRES",12150.0000
33,"DEPOSITO DE VERDURAS Y FRUTAS",12150.0000
34,"DEPOSITO Y CLASIFICACION DE HUEVOS COMESTIBLES",60450.0000
35,"DEPOSITO Y DISTRIBUCION DE FIDEOS",11550.0000
36,"DEPOSITO Y VENTA DE ART.P/HELADERIA Y CONFITERIA",12150.0000
37,"DESPACHO DE BEBIDAS",4050.0000
38,"DESPENSA",7050.0000
39,"DESPOSTADERO DE ANIMALES SILVESTRES",60450.0000
40,"DESPOSTADERO DE BOVINOS",60450.0000
41,"DESPOSTADERO DE OVINOS",60450.0000
42,"DESPOSTADERO DE PORCINOS",60450.0000
43,"DESTILERIA",45300.0000
44,"DESTROQUE DE FRUTILLAS",12150.0000
45,"ELABORACION DE AGUA POTABLE",12150.0000
46,"ELABORACION DE ALIMENTOS A BASE DE SOJA",45300.0000
47,"ELABORACION DE AZUCAR IMPALPABLE Y/O FANTASIA",25200.0000
48,"ELABORACION DE BEBIDAS ALCOHOLICAS",45300.0000
49,"ELABORACION DE CALDOS CONCETRADOS",48450.0000
50,"ELABORACION DE CEREALES AZUCARADOS",25200.0000
51,"ELABORACION DE CERVEZA",36150.0000
52,"ELABORACION DE COADYUVANTES",36150.0000
