Codigo_Auditoria,Código Establecimiento,Auditoría Nº,Fecha Auditoría,Alcances de la Auditoría,Conformidades,Acta_Multinfuncion,No Conformidades,Detalle Anexo Auditoria,Conclusiones,Material Adjunto,Anexo Auditoria Nº
1,"est001",1,"12/03/14 00:00:00",,,,,,,,
2,,2,,,,,,,,,
4,,4,,,,,,,,,
7,,7,,,,,,,,,
8,,8,,,,,,,,,
9,,9,,,,,,,,,
11,,11,,,,,,,,,
14,,14,,,,,,,,,
15,,15,,,,,,,,,
20,"EST007",20,"09/14/11 00:00:00","CONDICIONES EDILICIAS- PROCESOS DE HIGIENE Y DESINFECCIÓN.",,,"DEBEN ACONDICIONARSE FRISOSY TECHO EN LA SALA DE CUARTEO Y ELABORACIÓN DE REBOZADOS. DEBEN REFORZARSE CONCEPTOS DE BUENAS PRACTICAS DE MANUFACTURA A TRAVES DE LA TRAMITACIÓN DE CARNET DE MANIPULADOR.",,"ES CONCLUSIÓN DE ESTA AUDITORIA PESE A LAS NO CONFORMIDADES DESTACADAS MANTENER EL ALTA DEL ESTABLECIMIENTO.",,
30,,30,,,,,,,,,
31,,31,,,,,,,,,
34,"EST039",34,"07/31/12 00:00:00","CONDICIONES EDILICIAS-BPM",,,,,,,
36,"EST052",36,"08/27/12 00:00:00","CONDICIONES EDILICIAS- BPM",,,"DEBE TRAMITARSE CARNET DE MANIPULADOR DE ALIMENTOS- FALTA ACTUALIZAR Y TRAMITAR LIBRETAS SANITARIAS-DEBE COMPLETARSE INSTALACIÓN DE SISPOSITIVO DE PROVISIÓ DE AGUA FRÍA Y CALIENTE PARA LAVADO DE MANOS Y UTENSILIOS",,"ESTAN DADAS LAS CONDICIONES MÍNIMAS INDISPENSABLES PARA EL ALTA DEL ESTABLECIMIENTO",,
41,"EST046",41,"04/12/13 00:00:00",,,,,,,,
45,,45,,,,,,,,,
51,,51,,,,,,,,,
55,,55,,,,,,,,,
59,,59,,,,,,,,,
62,,62,,,,,,,,,
64,,64,,,,,,,,,
72,,72,,,,,,,,,
73,,73,,,,,,,,,
75,,75,,,,,,,,,
82,,82,,,,,,,,,
83,,83,,,,,,,,,
