Codigo_deuda,Codigo_establecimiento,Periodo,Año,Vencimiento,Importe,Pago,Fecha_pago,Monto_abonado
4328,"EST002",2,2024,"12/16/24 00:00:00",12032.3100,0,,0.0000
4329,"EST003",2,2024,"12/16/24 00:00:00",8365.9500,0,,0.0000
4330,"EST006",2,2024,"12/16/24 00:00:00",7999.2900,0,,0.0000
4331,"EST009",2,2024,"12/16/24 00:00:00",12032.3100,1,"01/23/25 00:00:00",12754.2500
4332,"EST012",2,2024,"12/16/24 00:00:00",1333.2300,1,"01/08/25 00:00:00",1373.2300
4333,"EST015",2,2024,"12/16/24 00:00:00",5699.4900,0,,0.0000
4334,"EST017",2,2024,"12/16/24 00:00:00",12032.3100,1,"12/17/24 00:00:00",12393.2800
4335,"EST018",2,2024,"12/16/24 00:00:00",3666.3600,0,,0.0000
4336,"EST021",2,2024,"12/16/24 00:00:00",1333.2300,0,,0.0000
4337,"EST022",2,2024,"12/16/24 00:00:00",5299.5600,1,"01/14/25 00:00:00",5458.5500
4338,"EST023",2,2024,"12/16/24 00:00:00",6299.4600,1,"12/16/24 00:00:00",6299.4600
4339,"EST025",2,2024,"12/16/24 00:00:00",3699.6900,0,,0.0000
4340,"EST032",2,2024,"12/16/24 00:00:00",4032.9900,0,,0.0000
4341,"EST035",2,2024,"12/16/24 00:00:00",8399.2800,0,,0.0000
4342,"EST036",2,2024,"12/16/24 00:00:00",1333.2300,1,"12/16/24 00:00:00",1333.2300
4343,"EST037",2,2024,"12/16/24 00:00:00",3657.3600,0,,0.0000
4344,"EST039",2,2024,"12/16/24 00:00:00",6666.0900,0,,0.0000
4345,"EST042",2,2024,"12/16/24 00:00:00",5966.1300,1,,0.0000
4346,"EST045",2,2024,"12/16/24 00:00:00",12032.3100,1,"01/14/25 00:00:00",12393.2800
4347,"EST046",2,2024,"12/16/24 00:00:00",5966.1300,0,,0.0000
4348,"EST050",2,2024,"12/16/24 00:00:00",3299.7000,0,,0.0000
4349,"EST052",2,2024,"12/16/24 00:00:00",2333.1300,1,"07/02/25 00:00:00",2823.0600
4350,"EST056",2,2024,"12/16/24 00:00:00",1333.2300,0,,0.0000
4351,"EST058",2,2024,"12/16/24 00:00:00",3699.6900,1,"12/13/24 00:00:00",3699.6900
4352,"EST062",2,2024,"12/16/24 00:00:00",12032.3100,1,"12/12/24 00:00:00",12032.3100
4353,"EST063",2,2024,"12/16/24 00:00:00",3299.7000,0,,0.0000
4354,"EST066",2,2024,"12/16/24 00:00:00",9699.1800,0,,0.0000
4355,"EST071",2,2024,"12/16/24 00:00:00",3333.0300,0,,0.0000
4356,"EST074",2,2024,"12/16/24 00:00:00",5999.4900,0,,0.0000
4357,"EST075",2,2024,"12/16/24 00:00:00",1333.2300,1,"12/12/24 00:00:00",1333.2300
4358,"EST076",2,2024,"12/16/24 00:00:00",1333.2300,0,,0.0000
4359,"EST078",2,2024,"12/16/24 00:00:00",8365.9500,0,,0.0000
4360,"EST079",2,2024,"12/16/24 00:00:00",1333.2300,0,,0.0000
4361,"EST087",2,2024,"12/16/24 00:00:00",3666.3600,0,,0.0000
4362,"EST089",2,2024,"12/16/24 00:00:00",14665.4100,1,"12/06/24 00:00:00",14665.4100
4363,"EST091",2,2024,"12/16/24 00:00:00",10942.4400,0,,0.0000
4364,"EST092",2,2024,"12/16/24 00:00:00",13032.2100,1,"01/23/25 00:00:00",13814.1400
4365,"EST093",2,2024,"12/16/24 00:00:00",8065.9800,1,"12/13/24 00:00:00",8065.9800
4366,"EST094",2,2024,"12/16/24 00:00:00",7999.2900,0,,0.0000
4367,"EST095",2,2024,"12/16/24 00:00:00",1333.2300,1,"12/17/24 00:00:00",1373.2300
4368,"EST102",2,2024,"12/16/24 00:00:00",1333.2300,0,,0.0000
4369,"EST103",2,2024,"12/16/24 00:00:00",6666.0900,1,"06/27/25 00:00:00",19998.2700
4370,"est131",2,2024,"12/16/24 00:00:00",3666.3600,0,,0.0000
4371,"est132",2,2024,"12/16/24 00:00:00",3380.9400,0,,0.0000
4372,"Est130",2,2024,"12/16/24 00:00:00",6761.8800,0,,0.0000
4373,"EST135",2,2024,"12/16/24 00:00:00",4999.5900,0,,0.0000
4374,"EST137",2,2024,"12/16/24 00:00:00",3333.0300,0,,0.0000
4375,"EST138",2,2024,"12/16/24 00:00:00",1333.2300,0,,0.0000
4376,"est139",2,2024,"12/16/24 00:00:00",2333.1300,0,,0.0000
4377,"est141",2,2024,"12/16/24 00:00:00",4666.2600,0,,0.0000
4378,"EST143",2,2024,"12/16/24 00:00:00",3666.3600,1,"12/12/24 00:00:00",3666.3600
4379,"est145",2,2024,"12/16/24 00:00:00",5666.1600,1,"12/12/24 00:00:00",5666.1600
4380,"est146",2,2024,"12/16/24 00:00:00",3666.3600,0,,0.0000
4381,"EST147",2,2024,"12/16/24 00:00:00",3666.3600,1,"12/10/24 00:00:00",3666.3600
4382,"est126",2,2024,"12/16/24 00:00:00",3299.7000,0,,0.0000
4383,"est128",2,2024,"12/16/24 00:00:00",1333.2300,0,,0.0000
4384,"est129",2,2024,"12/16/24 00:00:00",1333.2300,0,,0.0000
4385,,2,2024,"12/16/24 00:00:00",0.0000,0,,0.0000
4386,"est148",2,2024,"12/16/24 00:00:00",3666.3600,0,,0.0000
4387,"est149",2,2024,"12/16/24 00:00:00",1333.2300,0,,0.0000
4388,"est151",2,2024,"12/16/24 00:00:00",2333.1300,1,"12/13/24 00:00:00",2333.1300
4389,"est152",2,2024,"12/16/24 00:00:00",2333.1300,0,,0.0000
4390,"est153",2,2024,"12/16/24 00:00:00",2333.1300,0,,0.0000
703,"EST089",2,2014,"12/15/14 00:00:00",0.0000,1,"06/17/20 00:00:00",1560.7900
704,"EST090",2,2014,"12/15/14 00:00:00",0.0000,1,,0.0000
705,"EST091",1,2017,"12/15/14 00:00:00",0.0000,1,,0.0000
710,"EST002",2,2014,"12/15/14 00:00:00",361.0000,0,,0.0000
711,"EST003",2,2014,"12/15/14 00:00:00",251.0000,0,,
712,"EST006",2,2014,"12/15/14 00:00:00",240.0000,1,"11/25/16 00:00:00",405.6000
713,"EST007",2,2014,"12/15/14 00:00:00",110.0000,1,"09/26/16 00:00:00",688.3300
715,"EST009",2,2014,"12/15/14 00:00:00",361.0000,1,"06/12/18 00:00:00",821.2800
716,"EST010",2,2014,"12/15/14 00:00:00",99.0000,0,,0.0000
717,"EST012",1,2015,"12/15/14 00:00:00",40.0000,1,"06/02/15 00:00:00",40.0000
719,"EST014",2,2014,"12/15/14 00:00:00",40.0000,0,,0.0000
720,"EST015",2,2014,"12/15/14 00:00:00",171.0000,1,"12/05/16 00:00:00",0.0000
721,"EST017",2,2014,"12/15/14 00:00:00",361.0000,1,"01/12/15 00:00:00",368.2200
