Id_Rubro,RUBRO,VALOR
1,"ALMACEN",4700.0000
2,"ALMACEN AL POR MAYOR",16700.0000
3,"AUTOSERVICIO",16700.0000
4,"BAR",6700.0000
5,"BODEGA",30200.0000
6,"BUFFET",6700.0000
7,"CAFÉ",6700.0000
8,"CAMARA FRIGORIFICA",16800.0000
9,"CARNICERIA",4700.0000
10,"CARRIBAR",2700.0000
11,"CASA DE COMIDAS PARA LLEVAR",4700.0000
12,"CASA DE COMIDAS POR VIANDAS",4700.0000
13,"CASA DE PANIFICACION",6700.0000
14,"CASA PENSION CON COMIDA",6700.0000
15,"COMEDOR",6700.0000
16,"CONFITERIA (ELABORACION)",16800.0000
17,"COPETIN AL PASO",2700.0000
18,"DEPOSITO DE AVES EVISCERADAS Y HUEVOS",10100.0000
19,"DEPOSITO DE BEBIDAS ALCOHOLICAS/ANALCOHOLICAS",10100.0000
20,"DEPOSITO DE CONSERVANTES QUIMICOS",10100.0000
21,"DEPOSITO DE HELADOS",10100.0000
22,"DEPOSITO DE HUEVOS",10100.0000
23,"DEPOSITO DE HUEVOS INCOMESTIBLES",32300.0000
24,"DEPOSITO DE MASITAS Y GOLOSINAS",8100.0000
25,"DEPOSITO DE MENUDENCIAS",8100.0000
26,"DEPOSITO DE PESCADOS",8100.0000
27,"DEPOSITO DE PROD. DE IMPORTACION/EXPORTACION",8100.0000
28,"DEPOSITO DE PRODUCTOS DE ALMACEN",8100.0000
29,"DEPOSITO DE PRODUCTOS DE PANIFICACION",8100.0000
30,"DEPOSITO DE PRODUCTOS IMPORTADOS",8100.0000
31,"DEPOSITO DE PRODUCTOS LACTEOS",8100.0000
32,"DEPOSITO DE QUESOS Y FIAMBRES",8100.0000
33,"DEPOSITO DE VERDURAS Y FRUTAS",8100.0000
34,"DEPOSITO Y CLASIFICACION DE HUEVOS COMESTIBLES",40300.0000
35,"DEPOSITO Y DISTRIBUCION DE FIDEOS",7700.0000
36,"DEPOSITO Y VENTA DE ART.P/HELADERIA Y CONFITERIA",8100.0000
37,"DESPACHO DE BEBIDAS",2700.0000
38,"DESPENSA",4700.0000
39,"DESPOSTADERO DE ANIMALES SILVESTRES",40300.0000
40,"DESPOSTADERO DE BOVINOS",40300.0000
41,"DESPOSTADERO DE OVINOS",40300.0000
42,"DESPOSTADERO DE PORCINOS",40300.0000
43,"DESTILERIA",30200.0000
44,"DESTROQUE DE FRUTILLAS",8100.0000
45,"ELABORACION DE AGUA POTABLE",8100.0000
46,"ELABORACION DE ALIMENTOS A BASE DE SOJA",30200.0000
47,"ELABORACION DE AZUCAR IMPALPABLE Y/O FANTASIA",16800.0000
48,"ELABORACION DE BEBIDAS ALCOHOLICAS",30200.0000
49,"ELABORACION DE CALDOS CONCETRADOS",32300.0000
50,"ELABORACION DE CEREALES AZUCARADOS",16800.0000
51,"ELABORACION DE CERVEZA",24100.0000
